CreateAccount,rakesh,<grpc._server._Context object at 0x10d906590>
CreateAccount,soham,<grpc._server._Context object at 0x10fa5c190>
Login,rakesh,<grpc._server._Context object at 0x10fa5c220>
SendMessage,rakesh,soham,hi,<grpc._server._Context object at 0x10fa5c7f0>
Login,soham,<grpc._server._Context object at 0x10fa5e440>
UpdateChatLength,soham,1,<grpc._server._Context object at 0x10fa5eb00>
SendMessage,soham,rakesh,hi again,<grpc._server._Context object at 0x10fa5ef80>
UpdateChatLength,rakesh,1,<grpc._server._Context object at 0x10fa5d870>
SendMessage,soham,soham,yo are,<grpc._server._Context object at 0x10e53d510>
UpdateChatLength,soham,2,<grpc._server._Context object at 0x10c3efac0>
SendMessage,soham,rakesh,oowiejfioawjef,<grpc._server._Context object at 0x10e54c7c0>
UpdateChatLength,rakesh,2,<grpc._server._Context object at 0x10c3efc10>
Logout,rakesh,<grpc._server._Context object at 0x10e54fc10>
Login,soham,<grpc._server._Context object at 0x10e551870>
Logout,soham,<grpc._server._Context object at 0x116130580>
Login,rakesh,<grpc._server._Context object at 0x116133820>
SendMessage,soham,rakesh,hi,<grpc._server._Context object at 0x11613ddb0>
UpdateChatLength,rakesh,3,<grpc._server._Context object at 0x116133e80>
SendMessage,rakesh,soham,yo,<grpc._server._Context object at 0x11613f5b0>
Login,rakesh,<grpc._server._Context object at 0x10bb29f30>
Login,soham,<grpc._server._Context object at 0x10e1eb5b0>
UpdateChatLength,soham,3,<grpc._server._Context object at 0x10e1ebfd0>
SendMessage,rakesh,soham,still there,<grpc._server._Context object at 0x110350400>
UpdateChatLength,soham,4,<grpc._server._Context object at 0x10e1ebfd0>
Logout,rakesh,<grpc._server._Context object at 0x110351c00>
SendMessage,soham,rakesh,wjfioajwef,<grpc._server._Context object at 0x1103562f0>
Login,rakesh,<grpc._server._Context object at 0x110356680>
UpdateChatLength,rakesh,4,<grpc._server._Context object at 0x110357be0>
Logout,rakesh,<grpc._server._Context object at 0x110359ae0>
Logout,soham,<grpc._server._Context object at 0x110359960>
Login,rakesh,<grpc._server._Context object at 0x11035afb0>
Login,soham,<grpc._server._Context object at 0x116014880>
SendMessage,soham,rakesh,yoyo,<grpc._server._Context object at 0x116014eb0>
UpdateChatLength,rakesh,5,<grpc._server._Context object at 0x116010a00>
SendMessage,rakesh,soham,hi,<grpc._server._Context object at 0x10dc80730>
UpdateChatLength,soham,5,<grpc._server._Context object at 0x10dc7f8e0>
SendMessage,soham,rakesh,hi,<grpc._server._Context object at 0x10dc80a60>
UpdateChatLength,rakesh,6,<grpc._server._Context object at 0x10dc7f820>
Logout,soham,<grpc._server._Context object at 0x10dc887f0>
